full_name,selling_price,new_price,year,seller_type,seller_type,km_driven,fuel_type,fuel_type,transmission_type,transmission_type,Mileage,Engine,Seats
Maruti Alto Std,1.2,null,2012,Individual,0,120000,Petrol,0,Manual,0,19.7,796,5
Hyundai Grand i10 Asta,5.5,New Car (On-Road Price) : Rs.7.11-7.48 Lakh*,2016,Individual,0,20000,Petrol,0,Manual,0,18.9,1197,5
Hyundai i20 Asta,2.15,null,2010,Individual,0,60000,Petrol,0,Manual,0,17,1197,5
Maruti Alto K10 2010-2014 VXI,2.26,null,2012,Individual,0,37000,Petrol,0,Manual,0,20.92,998,5
Ford Ecosport 2015-2021 1.5 TDCi Titanium BSIV,5.7,New Car (On-Road Price) : Rs.10.14-13.79 Lakh*,2015,Dealer,1,30000,Diesel,1,Manual,0,22.77,1498,5
Maruti Wagon R VXI BS IV,3.5,New Car (On-Road Price) : Rs.5.16-6.94 Lakh*,2013,Individual,0,35000,Petrol,0,Manual,0,18.9,998,5
Hyundai i10 Sportz 1.2,3.15,New Car (On-Road Price) : Rs.6.54-6.63 Lakh*,2013,Dealer,1,40000,Petrol,0,Manual,0,20.36,1197,5
Maruti Wagon R VXI,4.1,New Car (On-Road Price) : Rs.5.26-7.01 Lakh*,2018,Dealer,1,17512,Petrol,0,Manual,0,20.51,998,5
Hyundai Venue SX Plus Turbo DCT BSIV,10.5,New Car (On-Road Price) : Rs.7.70-13.02 Lakh*,2019,Individual,0,20000,Petrol,0,Automatic,1,18.15,998,5
Mahindra TUV 300 T6,5.75,null,2017,Dealer,1,70000,Diesel,1,Manual,0,18.49,1493,7
Tata Indigo LX (TDI) BS-III,3.05,null,2015,Individual,0,50000,Diesel,1,Manual,0,19.09,1405,5
Renault Captur Platine Dual Tone Diesel,11.5,null,2019,Individual,0,18000,Diesel,1,Manual,0,20.37,1461,5
Maruti Swift VXI with ABS,5.11,New Car (On-Road Price) : Rs.6.35-9.27 Lakh*,2017,Dealer,1,28321,Petrol,0,Manual,0,16.6,1197,5
Nissan Micra XL CVT,4.1,null,2016,Dealer,1,27000,Petrol,0,Automatic,1,19.34,1198,5
Hyundai Verna 1.6 SX,4.25,New Car (On-Road Price) : Rs.13.09-18.29 Lakh*,2013,Dealer,1,65278,Diesel,1,Manual,0,22.32,1582,5
Renault Duster 110PS Diesel RxL Explore,7.5,null,2016,Individual,0,50000,Diesel,1,Manual,0,19.64,1461,5
Mini Cooper Cooper S,32.5,null,2017,Dealer,1,6000,Petrol,0,Automatic,1,14.41,1998,5
Maruti Ciaz ZDi Plus SHVS,6.5,null,2016,Dealer,1,76000,Diesel,1,Manual,0,28.09,1248,5
Maruti Swift VDI BSIV,6.27,null,2016,Individual,0,20000,Diesel,1,Manual,0,25.2,1248,5
Mercedes-Benz C-Class C 220 CDI Avantgarde,14.25,New Car (On-Road Price) : Rs.51.30-64.08 Lakh*,2014,Dealer,1,65000,Diesel,1,Automatic,1,19.27,2143,5
Maruti Swift VDI,4.25,null,2014,Dealer,1,62200,Diesel,1,Manual,0,28.4,1248,5
Toyota Innova 2.5 GX (Diesel) 8 Seater,6.05,null,2013,Individual,0,110000,Diesel,1,Manual,0,12.99,2494,8
Maruti Baleno Zeta 1.2,6,New Car (On-Road Price) : Rs.6.81-10.54 Lakh*,2015,Individual,0,20000,Petrol,0,Manual,0,21.4,1197,5
Maruti Swift Dzire VXI,5.75,New Car (On-Road Price) : Rs.6.98-10.40 Lakh*,2016,Individual,0,40000,Petrol,0,Manual,0,20.85,1197,5
Fiat Grande Punto 1.3 Emotion Pack (Diesel),2.6,null,2012,Individual,0,97000,Diesel,1,Manual,0,17.8,1248,5
Volkswagen Vento 1.6 Comfortline BSIV,4.25,New Car (On-Road Price) : Rs.10.12-16.08 Lakh*,2013,Dealer,1,47000,Petrol,0,Manual,0,16.09,1598,5
Maruti Alto K10 2010-2014 VXI,2.3,null,2013,Dealer,1,25000,Petrol,0,Manual,0,20.92,998,5
Hyundai Creta 1.6 CRDi SX,12.25,New Car (On-Road Price) : Rs.10.95-18.30 Lakh*,2019,Individual,0,15000,Diesel,1,Manual,0,19.67,1582,5
Mahindra Xylo H9,3.75,null,2010,Dealer,1,56823,Diesel,1,Manual,0,14.02,2179,8
Honda City i VTEC VX,7.5,New Car (On-Road Price) : Rs.12.36-16.57 Lakh*,2015,Individual,0,50000,Petrol,0,Manual,0,17.4,1497,5
Mahindra Bolero SLE BSIII,3.5,New Car (On-Road Price) : Rs.9.05-10.69 Lakh*,2011,Individual,0,25000,Diesel,1,Manual,0,13.6,2523,7
Maruti Swift Dzire VDI,6,null,2015,Individual,0,90000,Diesel,1,Manual,0,26.59,1248,5
Maruti Swift Dzire LDI,3.9,null,2013,Dealer,1,45000,Diesel,1,Manual,0,26.59,1248,5
Honda City 2017-2020 GXi,1.45,New Car (On-Road Price) : Rs.12.68-16.80 Lakh*,2007,Dealer,1,77253,Petrol,0,Manual,0,17.7,1497,5
Hyundai i20 Active 1.2 SX,7,null,2018,Individual,0,25000,Petrol,0,Manual,0,17.19,1197,5
Toyota Fortuner 4x2 Manual,11.5,New Car (On-Road Price) : Rs.37.47-43.30 Lakh*,2013,Individual,0,110000,Diesel,1,Manual,0,13,2982,7
Renault KWID Climber 1.0 MT,3.4,New Car (On-Road Price) : Rs.3.81-6.29 Lakh*,2017,Individual,0,30000,Petrol,0,Manual,0,23.01,999,5
Honda Amaze S Petrol,4.65,New Car (On-Road Price) : Rs.7.04-9.90 Lakh*,2016,Dealer,1,39993,Petrol,0,Manual,0,18.6,1199,5
Hyundai Santro Xing GLS,1.25,null,2009,Individual,0,80000,Petrol,0,Manual,0,17.92,1086,5
Mahindra XUV500 W8 2WD,6,New Car (On-Road Price) : Rs.16.59-23.36 Lakh*,2012,Individual,0,185000,Diesel,1,Manual,0,15.1,2179,7
Maruti Swift Dzire VDI,3.8,null,2013,Individual,0,90000,Diesel,1,Manual,0,23.4,1248,5
Mahindra Xylo E8,4,null,2009,Individual,0,60000,Diesel,1,Manual,0,14,2498,8
Chevrolet Sail 1.3 Base,3,null,2014,Individual,0,90000,Diesel,1,Manual,0,22.1,1248,5
Hyundai Xcent 1.2 Kappa SX,5,null,2015,Individual,0,20000,Petrol,0,Manual,0,19.1,1197,5
Hyundai i20 1.4 Asta Option,8.5,null,2018,Individual,0,15000,Diesel,1,Manual,0,22.54,1396,5
Hyundai i20 1.2 Magna Executive,5.98,New Car (On-Road Price) : Rs.7.63-12.66 Lakh*,2018,Individual,0,40000,Petrol,0,Manual,0,18.6,1197,5
Honda City i VTEC CVT SV,7,New Car (On-Road Price) : Rs.12.68-16.80 Lakh*,2015,Dealer,1,31180,Petrol,0,Automatic,1,18,1497,5
Mahindra TUV 300 mHAWK100 T8 AMT,9,null,2018,Individual,0,40000,Diesel,1,Automatic,1,18.49,1493,7
Maruti 800 Std,0.75,null,2004,Individual,0,50000,Petrol,0,Manual,0,16.1,796,4
Tata Indigo LS TDI BSIII,3,null,2015,Individual,0,58000,Diesel,1,Manual,0,19.09,1396,5
Maruti Swift Dzire ZDI,4.1,null,2014,Dealer,1,56000,Diesel,1,Manual,0,23.4,1248,5
Fiat Grande Punto 1.3 Emotion Pack 90HP (Diesel),3,null,2011,Individual,0,93000,Diesel,1,Manual,0,20.5,1248,5
Ambassador Avigo 1800 ISZ MPFI AC,2.25,null,2010,Dealer,1,86000,Petrol,0,Manual,0,12.2,1817,5
Maruti Swift VDI BSIV,3,null,2011,Individual,0,120000,Diesel,1,Manual,0,17.8,1248,5
